gia,dienTich,giaMoiM2,soPhongNgu,soWC,phuong,quan
5.6,72.0,77.78,2,2,Thanh Xuân Trung,Thanh Xuân
6.5,81.0,80.25,2,2,Thanh Xuân Trung,Thanh Xuân
5.5,55.0,100.0,1,1,Thượng Đình,Thanh Xuân
10.0,110.0,90.91,3,2,Thanh Xuân Trung,Thanh Xuân
9.1,163.5,55.66,4,3,Nhân Chính,Thanh Xuân
8.4,125.0,67.2,3,2,Nhân Chính,Thanh Xuân
10.9,120.0,90.83,3,2,Nhân Chính,Thanh Xuân
8.5,105.0,80.95,3,2,Nhân Chính,Thanh Xuân
5.0,90.0,55.56,3,2,Khương Trung,Thanh Xuân
8.75,122.0,71.72,3,2,Thanh Xuân Trung,Thanh Xuân
17.5,181.0,96.68,3,3,Thượng Đình,Thanh Xuân
5.6,71.2,78.65,2,2,Thanh Xuân Trung,Thanh Xuân
17.5,181.0,96.68,3,3,Thượng Đình,Thanh Xuân
11.2,105.0,106.67,3,2,Nhân Chính,Thanh Xuân
5.75,68.0,84.56,2,2,Thanh Xuân Trung,Thanh Xuân
7.2,108.0,66.67,3,2,Nhân Chính,Thanh Xuân
5.95,106.0,56.13,3,2,Thanh Xuân Trung,Thanh Xuân
7.5,110.0,68.18,3,2,Nhân Chính,Thanh Xuân
7.9,115.0,68.7,3,2,Nhân Chính,Thanh Xuân
12.55,118.0,106.36,3,3,Thanh Xuân Trung,Thanh Xuân
6.04,71.0,85.0,2,2,Thanh Xuân Trung,Thanh Xuân
5.5,83.0,66.26,2,2,Thanh Xuân Trung,Thanh Xuân
5.0,66.0,75.76,2,2,Nhân Chính,Thanh Xuân
8.3,127.0,65.35,3,2,Nhân Chính,Thanh Xuân
8.9,106.0,83.96,3,2,Nhân Chính,Thanh Xuân
3.95,80.0,49.38,3,2,Nhân Chính,Thanh Xuân
8.2,128.0,64.06,3,2,Nhân Chính,Thanh Xuân
7.5,107.0,70.09,3,2,Nhân Chính,Thanh Xuân
2.28,45.0,50.67,2,1,Khương Đình,Thanh Xuân
5.4,71.0,76.06,2,2,Thanh Xuân Trung,Thanh Xuân
1.29,37.0,34.86,1,1,Hạ Đình,Thanh Xuân
6.2,73.0,84.93,2,2,Nhân Chính,Thanh Xuân
5.8,80.0,72.5,2,2,Thanh Xuân Bắc,Thanh Xuân
9.4,124.0,75.81,3,2,Nhân Chính,Thanh Xuân
11.8,118.5,99.58,3,2,Nhân Chính,Thanh Xuân
7.5,90.0,83.33,2,2,Khương Mai,Thanh Xuân
7.5,98.0,76.53,3,2,Nhân Chính,Thanh Xuân
5.3,97.0,54.64,3,2,Nhân Chính,Thanh Xuân
5.0,75.0,66.67,2,2,Nhân Chính,Thanh Xuân
9.89,121.68,81.28,3,2,Thanh Xuân Trung,Thanh Xuân
7.5,98.0,76.53,3,2,Thanh Xuân Trung,Thanh Xuân
7.0,101.2,69.17,3,2,Nhân Chính,Thanh Xuân
8.3,137.0,60.58,3,2,Nhân Chính,Thanh Xuân
5.06,79.0,64.0,2,2,Nhân Chính,Thanh Xuân
7.1,95.0,74.74,3,2,Thanh Xuân Trung,Thanh Xuân
7.0,80.0,87.5,3,2,Thanh Xuân Trung,Thanh Xuân
9.2,93.0,98.92,3,2,Thanh Xuân Trung,Thanh Xuân
6.9,105.0,65.71,3,2,Nhân Chính,Thanh Xuân
8.9,145.0,61.38,3,2,Thanh Xuân Trung,Thanh Xuân
5.8,72.0,80.56,2,2,Thanh Xuân Trung,Thanh Xuân
8.45,130.0,65.0,3,2,Thanh Xuân Trung,Thanh Xuân
10.0,125.0,80.0,3,2,Thượng Đình,Thanh Xuân
7.06,72.0,98.0,2,2,Thanh Xuân Trung,Thanh Xuân
6.5,76.0,85.53,2,2,Thanh Xuân Trung,Thanh Xuân
6.6,75.0,88.0,2,2,Nhân Chính,Thanh Xuân
7.5,127.0,59.06,3,2,Nhân Chính,Thanh Xuân
6.89,81.1,85.0,2,2,Nhân Chính,Thanh Xuân
11.92,159.0,75.0,3,2,Nhân Chính,Thanh Xuân
11.0,171.0,64.33,4,2,Nhân Chính,Thanh Xuân
7.3,105.0,69.52,3,2,Nhân Chính,Thanh Xuân
8.5,128.0,66.41,3,2,Nhân Chính,Thanh Xuân
5.5,71.2,77.25,2,2,Thanh Xuân Trung,Thanh Xuân
8.2,110.0,74.54,3,2,Thanh Xuân Trung,Thanh Xuân
6.12,85.0,72.0,3,2,Nhân Chính,Thanh Xuân
5.5,89.0,61.8,3,2,Nhân Chính,Thanh Xuân
10.9,119.0,91.6,3,2,Nhân Chính,Thanh Xuân
1.89,52.0,36.32,2,1,Nhân Chính,Thanh Xuân
5.0,83.0,60.24,2,2,Phương Liệt,Thanh Xuân
6.1,111.0,54.96,3,2,Phương Liệt,Thanh Xuân
7.0,110.0,63.64,3,2,Nhân Chính,Thanh Xuân
7.7,97.0,79.38,3,2,Nhân Chính,Thanh Xuân
10.0,121.0,82.64,3,2,Thanh Xuân Trung,Thanh Xuân
5.1,72.0,70.83,2,2,Hạ Đình,Thanh Xuân
10.5,105.0,100.0,3,2,Nhân Chính,Thanh Xuân
6.5,85.9,75.67,2,2,Khương Mai,Thanh Xuân
7.5,101.0,74.26,3,2,Nhân Chính,Thanh Xuân
10.5,105.0,100.0,3,2,Nhân Chính,Thanh Xuân
5.6,75.0,74.67,2,2,Thanh Xuân Trung,Thanh Xuân
8.0,122.0,65.57,3,2,Thanh Xuân Trung,Thanh Xuân
7.5,90.0,83.33,3,2,Thanh Xuân Trung,Thanh Xuân
7.0,135.0,51.85,3,2,Nhân Chính,Thanh Xuân
6.6,81.0,81.48,2,2,Nhân Chính,Thanh Xuân
11.0,122.0,90.16,3,2,Thanh Xuân Trung,Thanh Xuân
9.5,110.0,86.36,3,2,Thanh Xuân Trung,Thanh Xuân
5.2,90.0,57.78,3,2,Khương Trung,Thanh Xuân
9.0,116.0,77.59,3,2,Thượng Đình,Thanh Xuân
7.8,105.5,73.93,3,2,Nhân Chính,Thanh Xuân
6.0,84.0,71.43,3,2,Nhân Chính,Thanh Xuân
9.2,97.0,94.84,3,3,Thanh Xuân Trung,Thanh Xuân
5.0,89.0,56.18,3,2,Khương Trung,Thanh Xuân
10.0,118.5,84.39,3,2,Nhân Chính,Thanh Xuân
5.5,68.4,80.41,2,2,Nhân Chính,Thanh Xuân
8.5,128.0,66.41,3,2,Nhân Chính,Thanh Xuân
5.5,71.0,77.46,2,2,Thanh Xuân Trung,Thanh Xuân
7.5,96.6,77.64,3,2,Thanh Xuân Trung,Thanh Xuân
6.9,62.0,111.29,2,2,Nhân Chính,Thanh Xuân
9.0,99.0,90.91,2,2,Thượng Đình,Thanh Xuân
10.0,120.0,83.33,3,2,Nhân Chính,Thanh Xuân
8.8,105.0,83.81,3,2,Nhân Chính,Thanh Xuân
5.3,71.0,74.65,2,2,Thanh Xuân Trung,Thanh Xuân
6.0,100.0,60.0,3,2,Nhân Chính,Thanh Xuân
8.0,112.0,71.43,2,2,Thượng Đình,Thanh Xuân
9.0,94.0,95.74,3,3,Thanh Xuân Trung,Thanh Xuân
7.0,93.0,75.27,3,2,Thanh Xuân Trung,Thanh Xuân
15.0,151.0,99.34,4,3,Nhân Chính,Thanh Xuân
6.9,72.0,95.83,2,2,Thanh Xuân Trung,Thanh Xuân
6.2,97.0,63.92,3,2,Thanh Xuân Trung,Thanh Xuân
6.0,97.0,61.86,3,2,Thanh Xuân Trung,Thanh Xuân
7.0,80.0,87.5,3,2,Nhân Chính,Thanh Xuân
5.0,66.0,75.76,2,2,Nhân Chính,Thanh Xuân
9.0,105.0,85.71,3,2,Nhân Chính,Thanh Xuân
2.55,60.0,42.5,2,2,Hạ Đình,Thanh Xuân
8.4,126.0,66.67,3,2,Khương Đình,Thanh Xuân
4.0,100.0,40.0,3,2,Nhân Chính,Thanh Xuân
3.1,90.0,34.44,3,1,Thanh Xuân Trung,Thanh Xuân
5.0,70.0,71.43,2,2,Khương Đình,Thanh Xuân
5.0,88.0,56.82,3,2,Hạ Đình,Thanh Xuân
4.55,69.0,66.0,2,2,Khương Trung,Thanh Xuân
5.7,90.0,63.33,3,2,Khương Trung,Thanh Xuân
8.0,97.0,82.47,3,2,Nhân Chính,Thanh Xuân
2.7,62.0,43.55,2,1,Thanh Xuân Bắc,Thanh Xuân
5.3,82.0,64.63,2,2,Phương Liệt,Thanh Xuân
5.3,77.0,68.83,2,2,Phương Liệt,Thanh Xuân
6.5,102.0,63.72,3,2,Thanh Xuân Trung,Thanh Xuân
4.05,59.0,68.64,2,1,Thanh Xuân Trung,Thanh Xuân
8.5,106.0,80.19,3,2,Nhân Chính,Thanh Xuân
5.3,73.0,72.6,2,2,Thanh Xuân Trung,Thanh Xuân
7.2,90.0,80.0,3,2,Nhân Chính,Thanh Xuân
9.0,110.0,81.82,3,2,Thanh Xuân Trung,Thanh Xuân
5.2,71.0,73.24,2,2,Nhân Chính,Thanh Xuân
6.5,111.0,58.56,3,2,Thanh Xuân Trung,Thanh Xuân
9.0,102.0,88.24,3,2,Thanh Xuân Trung,Thanh Xuân
7.0,122.0,57.38,3,2,Nhân Chính,Thanh Xuân
5.9,72.0,81.94,2,2,Thanh Xuân Trung,Thanh Xuân
5.6,85.5,65.5,3,2,Khương Đình,Thanh Xuân
8.0,128.0,62.5,3,2,Nhân Chính,Thanh Xuân
7.5,86.0,87.21,3,2,Nhân Chính,Thanh Xuân
5.5,84.0,65.48,2,2,Hạ Đình,Thanh Xuân
6.75,95.0,71.05,3,2,Thanh Xuân Trung,Thanh Xuân
6.2,66.0,93.94,2,2,Thanh Xuân Trung,Thanh Xuân
8.1,98.0,82.65,3,2,Nhân Chính,Thanh Xuân
6.5,94.0,69.15,3,2,Thanh Xuân Trung,Thanh Xuân
8.0,107.0,74.77,3,2,Nhân Chính,Thanh Xuân
7.5,80.0,93.75,3,2,Nhân Chính,Thanh Xuân
5.45,65.0,83.85,2,2,Nhân Chính,Thanh Xuân
8.9,109.0,81.65,2,2,Thượng Đình,Thanh Xuân
6.1,83.0,73.49,3,2,Khương Đình,Thanh Xuân
11.2,105.0,106.67,3,2,Nhân Chính,Thanh Xuân
10.9,118.0,92.37,3,2,Nhân Chính,Thanh Xuân
5.6,84.0,66.67,2,2,Hạ Đình,Thanh Xuân
8.6,122.0,70.49,3,2,Thanh Xuân Trung,Thanh Xuân
8.63,97.0,89.0,3,3,Thanh Xuân Trung,Thanh Xuân
1.42,42.0,33.81,1,1,Nhân Chính,Thanh Xuân
5.0,90.0,55.56,3,2,Khương Trung,Thanh Xuân
8.5,128.0,66.41,3,2,Nhân Chính,Thanh Xuân
5.6,89.0,62.92,3,2,Khương Trung,Thanh Xuân
4.7,68.0,69.12,2,2,Hạ Đình,Thanh Xuân
5.86,85.0,69.0,3,2,Khương Đình,Thanh Xuân
11.0,122.0,90.16,3,2,Thanh Xuân Trung,Thanh Xuân
5.17,76.0,68.0,2,2,Hạ Đình,Thanh Xuân
5.0,71.22,70.2,2,2,Thanh Xuân Trung,Thanh Xuân
7.23,73.0,99.0,2,2,Thanh Xuân Trung,Thanh Xuân
11.5,120.0,95.83,3,2,Thanh Xuân Trung,Thanh Xuân
7.3,90.0,81.11,3,2,Thanh Xuân Trung,Thanh Xuân
15.2,144.0,105.56,3,3,Nhân Chính,Thanh Xuân
9.0,94.0,95.74,3,3,Thanh Xuân Trung,Thanh Xuân
9.11,93.0,98.0,3,2,Thanh Xuân Trung,Thanh Xuân
11.6,145.0,80.0,3,3,Thanh Xuân Trung,Thanh Xuân
7.15,73.0,97.94,2,2,Thanh Xuân Trung,Thanh Xuân
8.4,92.0,91.3,3,2,Thanh Xuân Trung,Thanh Xuân
7.5,100.0,75.0,3,2,Thanh Xuân Trung,Thanh Xuân
7.45,73.0,102.06,2,2,Thanh Xuân Trung,Thanh Xuân
7.48,73.3,102.0,2,2,Thanh Xuân Trung,Thanh Xuân
7.2,80.6,89.33,2,2,Thanh Xuân Trung,Thanh Xuân
6.8,62.0,109.68,2,1,Nhân Chính,Thanh Xuân
10.7,106.0,100.94,3,2,Nhân Chính,Thanh Xuân
11.7,120.0,97.5,3,2,Nhân Chính,Thanh Xuân
9.0,93.4,96.36,3,3,Thanh Xuân Trung,Thanh Xuân
7.3,110.0,66.36,3,2,Thanh Xuân Trung,Thanh Xuân
7.07,80.5,87.83,2,2,Thanh Xuân Trung,Thanh Xuân
9.1,106.0,85.85,3,2,Nhân Chính,Thanh Xuân
7.06,72.0,98.0,2,2,Thanh Xuân Trung,Thanh Xuân
5.3,66.0,80.3,2,2,Nhân Chính,Thanh Xuân
8.6,98.0,87.76,3,2,Thanh Xuân Trung,Thanh Xuân
5.8,68.0,85.29,2,2,Thanh Xuân Trung,Thanh Xuân
6.0,80.0,75.0,2,2,Thanh Xuân Trung,Thanh Xuân
8.5,128.3,66.25,3,2,Nhân Chính,Thanh Xuân
5.6,87.0,64.37,3,2,Khương Trung,Thanh Xuân
7.0,81.0,86.42,2,2,Thanh Xuân Trung,Thanh Xuân
15.0,170.0,88.24,4,2,Thượng Đình,Thanh Xuân
15.0,146.0,102.74,4,3,Nhân Chính,Thanh Xuân
6.0,76.0,78.95,2,2,Thanh Xuân Trung,Thanh Xuân
7.6,130.0,58.46,3,2,Nhân Chính,Thanh Xuân
4.6,73.0,63.01,2,2,Hạ Đình,Thanh Xuân
6.0,75.0,80.0,2,2,Thanh Xuân Trung,Thanh Xuân
4.8,66.0,72.73,2,2,Nhân Chính,Thanh Xuân
8.0,100.0,80.0,3,2,Nhân Chính,Thanh Xuân
5.3,66.0,80.3,2,2,Nhân Chính,Thanh Xuân
10.0,110.0,90.91,3,2,Thanh Xuân Trung,Thanh Xuân
6.5,85.0,76.47,3,2,Nhân Chính,Thanh Xuân
5.1,65.0,78.46,2,2,Nhân Chính,Thanh Xuân
5.5,71.2,77.25,2,2,Thanh Xuân Trung,Thanh Xuân
6.0,66.0,90.91,2,2,Nhân Chính,Thanh Xuân
7.2,80.0,90.0,2,2,Khương Mai,Thanh Xuân
13.0,132.0,98.48,4,3,Thượng Đình,Thanh Xuân
9.0,97.0,92.78,3,3,Thanh Xuân Trung,Thanh Xuân
7.8,120.0,65.0,4,2,Khương Trung,Thanh Xuân
10.79,130.0,83.0,3,2,Thượng Đình,Thanh Xuân
8.5,91.0,93.41,3,2,Thanh Xuân Trung,Thanh Xuân
6.6,84.0,78.57,2,2,Nhân Chính,Thanh Xuân
6.2,71.0,87.32,2,2,Thanh Xuân Trung,Thanh Xuân
17.34,182.0,95.28,3,2,Nhân Chính,Thanh Xuân
8.2,126.0,65.08,3,2,Khương Đình,Thanh Xuân
6.6,80.0,82.5,2,2,Thanh Xuân Trung,Thanh Xuân
8.72,122.0,71.51,3,2,Nhân Chính,Thanh Xuân
20.0,186.5,107.24,4,3,Nhân Chính,Thanh Xuân
6.5,73.0,89.04,2,2,Nhân Chính,Thanh Xuân
7.9,85.9,91.97,2,2,Khương Mai,Thanh Xuân
7.35,93.2,78.86,3,2,Thanh Xuân Trung,Thanh Xuân
6.0,86.0,69.77,2,2,Thanh Xuân Trung,Thanh Xuân
8.3,85.5,97.08,3,2,Nhân Chính,Thanh Xuân
7.5,98.0,76.53,3,2,Nhân Chính,Thanh Xuân
6.0,111.0,54.05,3,2,Phương Liệt,Thanh Xuân
5.5,71.2,77.25,2,2,Thanh Xuân Trung,Thanh Xuân
7.6,128.0,59.38,3,2,Nhân Chính,Thanh Xuân
5.79,95.5,60.63,2,2,Nhân Chính,Thanh Xuân
7.9,110.0,71.82,3,2,Thanh Xuân Trung,Thanh Xuân
5.1,105.0,48.57,3,2,Thanh Xuân Trung,Thanh Xuân
7.5,100.0,75.0,3,2,Nhân Chính,Thanh Xuân
7.5,107.0,70.09,3,2,Hạ Đình,Thanh Xuân
6.07,74.0,82.0,2,2,Nhân Chính,Thanh Xuân
7.99,103.0,77.57,3,2,Hạ Đình,Thanh Xuân
12.5,133.0,93.98,4,2,Thượng Đình,Thanh Xuân
6.5,100.0,65.0,3,2,Thanh Xuân Trung,Thanh Xuân
8.0,133.0,60.15,3,2,Thanh Xuân Trung,Thanh Xuân
5.9,69.0,85.51,2,2,Nhân Chính,Thanh Xuân
7.4,73.0,101.37,2,2,Thanh Xuân Trung,Thanh Xuân
7.5,124.0,60.48,3,2,Nhân Chính,Thanh Xuân
8.65,206.0,42.0,4,2,Thanh Xuân Trung,Thanh Xuân
6.1,70.0,87.14,2,2,Thanh Xuân Trung,Thanh Xuân
5.9,72.0,81.94,2,2,Thanh Xuân Trung,Thanh Xuân
8.0,130.0,61.54,4,2,Nhân Chính,Thanh Xuân
7.8,102.0,76.47,3,2,Thanh Xuân Trung,Thanh Xuân
5.3,94.0,56.38,3,2,Thanh Xuân Trung,Thanh Xuân
6.9,95.0,72.63,3,2,Thanh Xuân Trung,Thanh Xuân
7.0,110.0,63.64,3,2,Nhân Chính,Thanh Xuân
6.0,100.0,60.0,3,2,Thanh Xuân Trung,Thanh Xuân
9.07,165.0,55.0,4,2,Nhân Chính,Thanh Xuân
5.3,68.0,77.94,2,2,Nhân Chính,Thanh Xuân
5.62,72.0,78.0,2,2,Thanh Xuân Trung,Thanh Xuân
8.8,105.0,83.81,3,2,Thanh Xuân Trung,Thanh Xuân
8.5,93.0,91.4,3,2,Thanh Xuân Trung,Thanh Xuân
6.0,97.0,61.86,3,2,Thanh Xuân Trung,Thanh Xuân
8.5,128.0,66.41,3,2,Nhân Chính,Thanh Xuân
8.0,122.4,65.36,3,2,Thanh Xuân Trung,Thanh Xuân
5.8,70.0,82.86,2,2,Nhân Chính,Thanh Xuân
7.0,110.0,63.64,3,2,Nhân Chính,Thanh Xuân
5.4,70.0,77.14,2,2,Nhân Chính,Thanh Xuân
7.0,100.0,70.0,3,2,Nhân Chính,Thanh Xuân
5.5,85.0,64.71,3,2,Khương Đình,Thanh Xuân
7.0,138.0,50.72,3,2,Nhân Chính,Thanh Xuân
7.5,98.0,76.53,3,2,Thượng Đình,Thanh Xuân
5.8,83.0,69.88,2,2,Khương Đình,Thanh Xuân
4.95,75.0,66.0,2,2,Nhân Chính,Thanh Xuân
7.25,80.0,90.62,3,2,Nhân Chính,Thanh Xuân
8.0,133.0,60.15,3,2,Thanh Xuân Trung,Thanh Xuân
8.8,122.0,72.13,3,2,Thanh Xuân Trung,Thanh Xuân
4.5,72.0,62.5,2,2,Hạ Đình,Thanh Xuân
4.35,62.0,70.16,2,1,Nhân Chính,Thanh Xuân
6.35,77.0,82.47,2,2,Thanh Xuân Trung,Thanh Xuân
10.5,109.0,96.33,2,2,Thượng Đình,Thanh Xuân
9.0,130.0,69.23,3,3,Nhân Chính,Thanh Xuân
4.5,75.0,60.0,2,2,Nhân Chính,Thanh Xuân
6.5,106.0,61.32,3,2,Khương Trung,Thanh Xuân
5.1,79.0,64.56,2,2,Phương Liệt,Thanh Xuân
9.0,116.0,77.59,3,2,Nhân Chính,Thanh Xuân
7.8,90.4,86.28,3,2,Thanh Xuân Trung,Thanh Xuân
6.45,110.0,58.64,3,2,Nhân Chính,Thanh Xuân
4.8,62.0,77.42,2,2,Nhân Chính,Thanh Xuân
6.3,71.0,88.73,2,2,Thanh Xuân Trung,Thanh Xuân
9.3,93.44,99.53,3,3,Thanh Xuân Trung,Thanh Xuân
8.8,97.0,90.67,3,3,Thanh Xuân Trung,Thanh Xuân
7.8,96.0,81.25,3,2,Thượng Đình,Thanh Xuân
10.0,133.6,74.85,4,2,Thượng Đình,Thanh Xuân
15.1,144.0,104.86,3,2,Nhân Chính,Thanh Xuân
8.1,120.0,67.5,2,2,Khương Trung,Thanh Xuân
7.4,109.0,67.89,3,2,Khương Trung,Thanh Xuân
8.0,103.0,77.67,2,2,Thượng Đình,Thanh Xuân
9.7,128.0,75.78,3,2,Nhân Chính,Thanh Xuân
8.15,85.0,95.88,3,2,Nhân Chính,Thanh Xuân
9.7,128.0,75.78,3,2,Nhân Chính,Thanh Xuân
6.97,102.0,68.33,3,2,Thanh Xuân Trung,Thanh Xuân
5.8,80.0,72.5,2,2,Thanh Xuân Bắc,Thanh Xuân
8.96,163.0,55.0,4,2,Nhân Chính,Thanh Xuân
8.15,97.5,83.59,3,2,Thanh Xuân Trung,Thanh Xuân
13.5,151.0,89.4,4,3,Nhân Chính,Thanh Xuân
5.5,80.0,68.75,2,2,Thanh Xuân Trung,Thanh Xuân
8.4,110.0,76.36,3,2,Thanh Xuân Trung,Thanh Xuân
8.08,94.0,86.0,3,3,Nhân Chính,Thanh Xuân
7.7,85.5,90.06,3,2,Nhân Chính,Thanh Xuân
6.5,73.0,89.04,2,2,Thanh Xuân Trung,Thanh Xuân
8.8,105.0,83.81,3,2,Thanh Xuân Trung,Thanh Xuân
5.2,71.0,73.24,2,2,Nhân Chính,Thanh Xuân
8.15,103.0,79.13,3,2,Thanh Xuân Bắc,Thanh Xuân
6.2,82.2,75.43,3,2,Khương Đình,Thanh Xuân
7.5,73.0,102.74,2,2,Nhân Chính,Thanh Xuân
6.3,84.0,75.0,3,2,Nhân Chính,Thanh Xuân
15.0,164.0,91.46,4,3,Thượng Đình,Thanh Xuân
5.95,105.0,56.67,3,2,Thanh Xuân Trung,Thanh Xuân
12.5,124.0,100.81,3,2,Thượng Đình,Thanh Xuân
3.65,110.0,33.18,3,3,Khương Mai,Thanh Xuân
6.48,72.0,90.0,2,2,Thanh Xuân Trung,Thanh Xuân
9.51,97.0,98.0,3,3,Thanh Xuân Trung,Thanh Xuân
5.8,90.0,64.44,3,2,Nhân Chính,Thanh Xuân
6.2,68.5,90.51,2,2,Nhân Chính,Thanh Xuân
7.5,106.0,70.76,3,2,Khương Trung,Thanh Xuân
7.0,85.0,82.35,3,2,Nhân Chính,Thanh Xuân
6.0,85.5,70.18,3,2,Khương Đình,Thanh Xuân
7.3,103.0,70.87,3,2,Thanh Xuân Bắc,Thanh Xuân
6.8,105.0,64.76,3,2,Nhân Chính,Thanh Xuân
5.7,75.0,76.0,2,2,Thanh Xuân Trung,Thanh Xuân
6.0,73.0,82.19,2,2,Nhân Chính,Thanh Xuân
9.6,106.0,90.57,3,2,Nhân Chính,Thanh Xuân
7.8,100.0,78.0,3,2,Thanh Xuân Trung,Thanh Xuân
5.8,80.0,72.5,2,2,Thanh Xuân Bắc,Thanh Xuân
8.6,140.0,61.43,3,2,Thanh Xuân Trung,Thanh Xuân
6.0,72.0,83.33,2,2,Thanh Xuân Trung,Thanh Xuân
4.7,84.0,55.95,2,2,Hạ Đình,Thanh Xuân
9.0,166.0,54.22,3,2,Thanh Xuân Trung,Thanh Xuân
9.2,128.0,71.88,3,2,Nhân Chính,Thanh Xuân
9.5,128.0,74.22,3,2,Nhân Chính,Thanh Xuân
9.0,102.0,88.24,3,2,Thanh Xuân Trung,Thanh Xuân
7.0,98.0,71.43,3,2,Nhân Chính,Thanh Xuân
9.0,116.0,77.59,3,2,Thượng Đình,Thanh Xuân
8.0,110.0,72.73,3,2,Nhân Chính,Thanh Xuân
10.0,110.0,90.91,3,2,Nhân Chính,Thanh Xuân
5.9,83.0,71.08,2,2,Nhân Chính,Thanh Xuân
10.4,115.0,90.44,3,2,Nhân Chính,Thanh Xuân
2.95,51.0,57.84,1,1,Thanh Xuân Trung,Thanh Xuân
7.8,104.0,75.0,3,2,Thanh Xuân Bắc,Thanh Xuân
7.7,109.0,70.64,3,3,Khương Trung,Thanh Xuân
4.5,76.0,59.21,2,2,Hạ Đình,Thanh Xuân
4.5,66.0,68.18,2,2,Thanh Xuân Bắc,Thanh Xuân
9.8,135.0,72.59,3,2,Thanh Xuân Trung,Thanh Xuân
15.8,213.0,74.18,4,3,Thượng Đình,Thanh Xuân
9.9,166.0,59.64,3,3,Thanh Xuân Trung,Thanh Xuân
8.0,93.0,86.02,2,2,Thượng Đình,Thanh Xuân
19.0,220.0,86.36,4,3,Thượng Đình,Thanh Xuân
7.0,80.0,87.5,2,2,Nhân Chính,Thanh Xuân
8.7,102.0,85.29,3,2,Thượng Đình,Thanh Xuân
3.9,83.0,46.99,2,2,Nhân Chính,Thanh Xuân
4.9,96.0,51.04,3,2,Nhân Chính,Thanh Xuân
12.5,172.0,72.67,3,3,Nhân Chính,Thanh Xuân
8.0,124.0,64.52,3,2,Nhân Chính,Thanh Xuân
5.6,66.0,84.85,2,2,Nhân Chính,Thanh Xuân
8.5,128.0,66.41,3,2,Nhân Chính,Thanh Xuân
6.74,80.0,84.25,3,2,Nhân Chính,Thanh Xuân
7.8,93.2,83.69,3,2,Thanh Xuân Trung,Thanh Xuân
5.78,85.0,68.0,3,2,Nhân Chính,Thanh Xuân
7.0,70.0,100.0,2,1,Nhân Chính,Thanh Xuân
5.4,66.0,81.82,2,2,Nhân Chính,Thanh Xuân
9.0,130.0,69.23,3,2,Nhân Chính,Thanh Xuân
8.5,110.0,77.27,3,2,Nhân Chính,Thanh Xuân
20.0,20.0,1.0,4,3,Nhân Chính,Thanh Xuân
5.41,77.3,69.99,2,2,Phương Liệt,Thanh Xuân
3.0,65.0,46.15,2,2,Thanh Xuân Trung,Thanh Xuân
14.3,139.0,102.88,3,3,Thượng Đình,Thanh Xuân
6.2,100.0,62.0,3,2,Nhân Chính,Thanh Xuân
6.5,137.0,47.44,3,2,Nhân Chính,Thanh Xuân
2.8,52.0,53.85,1,1,Thanh Xuân Trung,Thanh Xuân
6.9,82.0,84.15,2,2,Thượng Đình,Thanh Xuân
9.7,148.0,65.54,4,3,Nhân Chính,Thanh Xuân
8.3,110.0,75.46,3,2,Thanh Xuân Trung,Thanh Xuân
8.2,104.0,78.85,3,2,Nhân Chính,Thanh Xuân
4.0,82.5,48.48,2,2,Nhân Chính,Thanh Xuân
4.3,60.0,71.67,2,2,Thanh Xuân Bắc,Thanh Xuân
4.8,68.92,69.65,2,2,Hạ Đình,Thanh Xuân
5.3,96.0,55.21,3,2,Nhân Chính,Thanh Xuân
8.3,102.0,81.37,3,2,Thanh Xuân Bắc,Thanh Xuân
8.5,102.0,83.33,3,2,Thanh Xuân Bắc,Thanh Xuân
5.0,102.0,49.02,2,2,Thanh Xuân Trung,Thanh Xuân
6.3,111.0,56.76,3,2,Phương Liệt,Thanh Xuân
5.0,70.0,71.43,2,2,Nhân Chính,Thanh Xuân
4.5,80.0,56.25,2,2,Thanh Xuân Trung,Thanh Xuân
6.9,120.0,57.5,3,2,Nhân Chính,Thanh Xuân
4.3,60.0,71.67,2,2,Thanh Xuân Bắc,Thanh Xuân
7.2,80.0,90.0,3,2,Nhân Chính,Thanh Xuân
4.5,61.0,73.77,2,2,Thanh Xuân Bắc,Thanh Xuân
7.9,86.0,91.86,2,2,Khương Mai,Thanh Xuân
5.8,69.0,84.06,2,2,Nhân Chính,Thanh Xuân
6.6,105.0,62.86,3,2,Thanh Xuân Trung,Thanh Xuân
8.4,101.0,83.17,3,2,Thanh Xuân Bắc,Thanh Xuân
8.5,91.0,93.41,3,2,Thanh Xuân Trung,Thanh Xuân
7.48,98.0,76.33,3,2,Nhân Chính,Thanh Xuân
6.7,94.0,71.28,3,2,Thanh Xuân Trung,Thanh Xuân
4.5,60.0,75.0,2,2,Thanh Xuân Bắc,Thanh Xuân
4.6,60.0,76.67,2,2,Thanh Xuân Bắc,Thanh Xuân
8.4,105.0,80.0,2,2,Thượng Đình,Thanh Xuân
7.0,99.0,70.71,3,2,Nhân Chính,Thanh Xuân
10.5,116.0,90.52,3,2,Nhân Chính,Thanh Xuân
5.1,70.0,72.86,2,2,Khương Đình,Thanh Xuân
8.8,96.6,91.1,3,2,Thanh Xuân Trung,Thanh Xuân
6.3,77.83,80.95,2,2,Thanh Xuân Trung,Thanh Xuân
6.0,71.0,84.51,2,2,Thanh Xuân Trung,Thanh Xuân
7.2,86.3,83.43,3,2,Nhân Chính,Thanh Xuân
